Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_161.jpg;9.036678;1;0;1.240862;100.2073;89.78321;1.220119;42.23004;0.02727668
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_211.jpg;6.769912;1;0;1.289555;100.2435;89.81945;1.222187;42.70202;0.01267603
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_263.jpg;4.508873;1;0;1.321325;100.2997;89.87553;1.230695;43.25341;-0.004971977
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_312.jpg;2.266073;1;0;1.366167;100.3385;89.91395;1.241966;43.51074;-0.003974129
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_362.jpg;0.02598183;1;0;1.397588;100.3989;89.97231;1.247406;43.66118;-0.002026485
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_411.jpg;0.7525935;1;0;1.445163;100.4405;90.01192;1.244301;43.67371;-0.001188306
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_463.jpg;2.983527;1;0;1.477587;100.5044;90.07365;1.252793;43.813;-0.002003378
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_511.jpg;5.24862;1;0;1.522582;100.5475;90.1164;1.254558;44.04279;-0.003067864
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_561.jpg;7.483982;1;0;1.552666;100.6121;90.18336;1.244741;44.63871;0.004723256
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_611.jpg;6.750815;1;0;1.598698;100.6554;90.22995;1.241827;45.15246;0.01567478
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_662.jpg;4.508524;1;0;1.62976;100.7224;90.30147;1.249792;45.76672;0.00291158
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_711.jpg;2.204501;1;0;1.676724;100.7681;90.35038;1.259509;46.05891;-0.004157708
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_762.jpg;0.02354929;1;0;1.70594;100.8386;90.42488;1.268693;46.24588;-0.002591972
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_811.jpg;0;1;0;1.752875;100.8869;90.47529;1.270079;46.26482;-0.001411101
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_862.jpg;1.513355;1;0;1.782514;100.961;90.55264;1.276566;46.31207;-0.001398695
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_912.jpg;3.779316;1;0;1.827569;101.011;90.60574;1.281029;46.45587;-0.002363222
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_962.jpg;6.017247;1;0;1.857048;101.086;90.68817;1.276931;46.94793;0.001187067
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_58_012.jpg;8.281983;1;0;1.901488;101.1358;90.74516;1.269508;47.4369;0.01424692
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_58_062.jpg;10.51282;1;0;1.929338;101.2096;90.83402;1.249632;48.47014;0.05778247
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_58_112.jpg;9.769818;1;0;1.971798;101.2581;90.89514;1.217056;49.30141;0.08637226
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_58_162.jpg;7.535194;1;0;2.003084;101.3316;90.98899;1.161012;50.38871;0.1053062
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_58_212.jpg;5.273044;1;0;2.04821;101.3813;91.05315;1.133025;50.96874;0.1112773
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_58_263.jpg;3.020799;1;0;2.078525;101.4577;91.15166;1.128502;51.5555;0.1127455
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_58_313.jpg;2.251659;1;0;2.121602;101.5364;91.25248;1.160543;51.86762;0.09423903
